,stop_code,stop_name,stop_lat,stop_lon,stop_change
3266,41027,Northbound Art Miki at Ravelston,49.90641816780871,-97.05766394133876,New
3267,41028,Northbound Philip Lee at Golden Boy,49.908439129199216,-97.05481101200893,New
3268,41029,Eastbound Prairie Crocus at Angela Everts,49.90868754715822,-97.051931761069,New
3269,41030,Eastbound Prairie Crocus at Peguis,49.9083874753983,-97.04800212897602,New
3270,41031,Westbound McIvor at Fair,49.94529248358113,-97.05591943959546,New
3271,41032,Westbound McIvor at Chornick,49.94727383734955,-97.0603560787745,New
3272,41033,Westbound McIvor at Cranlea,49.94844223445289,-97.0629855983733,New
3273,41034,Eastbound McIvor at Cranlea,49.94827996668825,-97.06296422882345,New
3274,41035,Eastbound McIvor at Chornick,49.947130480554776,-97.0603897168068,New
3275,41036,Eastbound McIvor at Fair,49.945111301248694,-97.05584310067572,New
3276,41037,Westbound Prairie Crocus at Peguis,49.908478773319935,-97.04808201326463,New
3277,41038,Westbound Prairie Crocus at Angela Everts,49.90892805322319,-97.05232599704944,New
3278,41039,Southbound Philip Lee at Golden Boy,49.9084776579773,-97.05496267395112,New
3279,41040,Southbound Art Miki at Ravelston,49.90663413779727,-97.0576691935752,New
3280,41041,Eastbound El Tassi at Art Miki,49.9046741778793,-97.05719083079144,New
3281,41043,Eastbound Devonshire at Private Davy,49.90835740906706,-97.0440894778908,New
3282,41044,Eastbound Devonshire at Jerry Klein,49.90829962624341,-97.03854833801574,New
3283,41045,Northbound Kildonan Meadow at Devonshire,49.909003019517066,-97.03123517160604,New
3284,41046,Northbound Kildonan Meadow at Edna Perry,49.91125024393791,-97.03167296646284,New
3285,41047,Eastbound Kildonan Meadow at Tommy Douglas,49.913426453537966,-97.02952274183257,New
3286,41048,Southbound Plessis at Sanford Fleming,49.90600926979545,-97.02552136578966,New
3287,41049,Southbound Plessis at Kildonan Meadow,49.903914156012064,-97.0255651330525,New
3288,41050,Eastbound Pandora at Plessis,49.89335024782941,-97.02429760425191,New
3289,41051,Eastbound Pandora at Hoka,49.89334624289601,-97.01565092794924,New
3290,41052,Northbound Redonda at St. Martin,49.90349739620476,-96.97901023372717,New
3291,41053,Northbound Redonda at McMeans,49.90570956208192,-96.97897348389496,New
3292,41054,Northbound Redonda at Bramwell,49.90687370764647,-96.9791894558344,New
3293,41055,Southbound Redonda at Bramwell,49.906750297387575,-96.97933389356062,New
3294,41056,Southbound Redonda at McMeans,49.905299246116755,-96.9791716923248,New
3295,41057,Southbound Redonda at St. Martin,49.90358169567397,-96.97920168946251,New
3296,41058,Northbound Plessis at Regent,49.89541680594662,-97.0252157720638,New
3297,41059,Northbound Plessis at Kildare,49.9006528318104,-97.02526657275452,New
3298,41060,Northbound Plessis at Sanford Fleming,49.90630919191496,-97.0251748515882,New
3299,41061,Northbound Plessis at Devonshire,49.90965446558706,-97.0251217821484,New
3300,41062,Westbound Kildonan Meadow at Plessis,49.91376314380786,-97.02605439464692,New
3301,41063,Westbound Kildonan Meadow at Tommy Douglas,49.91356648358336,-97.02929415586708,New
3302,41064,Southbound Kildonan Meadow at Edna Perry,49.91093705356978,-97.03176929257624,New
3303,41065,Southbound Kildonan Meadow at Devonshire,49.90878894371536,-97.03134138834538,New
3304,41066,Westbound Devonshire at Jerry Klein,49.908426150914,-97.03911426846932,New
3305,41067,Westbound Devonshire at Private Davy,49.90845176681615,-97.04435029986637,New
3306,41068,Westbound Nairn at Watt,49.90494941779189,-97.1052707824418,New
3307,41069,Southbound Watt at Talbot,49.90619049618512,-97.10470682928964,New
3308,41070,Southbound Panet at Munroe,49.90701326037807,-97.06634499515016,New
3309,41071,Southbound Plessis at Kildare,49.90046976375985,-97.0256082742525,New
3310,41072,Westbound Talbot at Watt,49.90665976103862,-97.104799857837,New
3311,41073,Eastbound Munroe at Gateway,49.91477862841644,-97.08925594173232,New
3312,41074,Southbound Watt at Watt,49.922807858400944,-97.0917807100288,New
3313,41075,Northbound Peguis at Devonshire,49.90803251324911,-97.04722254949668,New
3314,41076,Northbound Watt at Talbot,49.90671334195838,-97.1042267184261,New
3315,47001,Southbound Gateway at McLeod,49.929031638552495,-97.07110728771517,New
3316,47002,Southbound Gateway at Antrim,49.92308579803736,-97.07867315111926,New
3317,47003,Northbound Gateway at Munroe,49.91458847716007,-97.08917987751585,New
3318,47004,Northbound Gateway at Antrim,49.92305513338698,-97.07845144972389,New
3319,47005,Northbound Gateway at McLeod,49.92910673943979,-97.07075593204544,New
3320,47008,Northbound Ravenhurst at Merkel Manza,49.89173003622749,-96.96812624299352,New
3321,47010,Southbound Redonda at Summerlea,49.91151522278096,-96.97970583495844,New
3322,47011,Eastbound Chalmers at Watt,49.911113708619666,-97.10268912491992,New
3323,47012,Northbound Gateway at Fleming,49.91722265084899,-97.08582985657632,New
3324,47013,Northbound Gateway at Burnett,49.932710073753455,-97.06622240027932,New
3325,47014,Northbound Gateway at Springfield,49.93573919258985,-97.0623244182165,New
3326,47015,Southbound Gateway at Springfield,49.93543506463723,-97.06296374428096,New
3327,47016,Southbound Gateway at Burnett,49.93251169881165,-97.0667320114332,New
3328,47017,Southbound Gateway at Fleming,49.91715626165464,-97.08616682553335,New
