,CTUID,DGUID,CTNAME,LANDAREA,PRUID,pop_density,transit_users,pop_change,poverty_rate,low_income
127,6020142.04,2021S05076020142.04,142.04,0.816,46,3294.1,6.0,-0.1,6.7,15.8
128,6020500.04,2021S05076020500.04,500.04,2.2962,46,3104.3,11.9,0.7,18.8,24.2
129,6020520.02,2021S05076020520.02,520.02,0.9788,46,1947.3,1.6,3.0,1.1,3.9
130,6020520.03,2021S05076020520.03,520.03,3.1703,46,2273.9,5.5,22.3,5.2,7.1
131,6020539.01,2021S05076020539.01,539.01,18.9071,46,183.7,3.7,4.0,5.5,7.7
132,6020539.02,2021S05076020539.02,539.02,1.2553,46,3121.2,8.1,-1.2,8.0,14.0
133,6020540.04,2021S05076020540.04,540.04,0.7602,46,3316.2,5.1,2.5,6.6,12.3
134,6020552.01,2021S05076020552.01,552.01,2.0734,46,2654.1,5.7,5.2,4.0,6.8
135,6020552.02,2021S05076020552.02,552.02,1.0117,46,4058.5,10.6,-0.5,7.1,12.2
136,6020560.04,2021S05076020560.04,560.04,1.4284,46,4367.1,9.9,-3.2,8.2,9.4
137,6020510.02,2021S05076020510.02,510.02,7.3219,46,866.6,2.0,-7.3,2.5,6.4
138,6020122.01,2021S05076020122.01,122.01,1.5883,46,3202.8,6.1,1.1,4.3,8.4
139,6020122.02,2021S05076020122.02,122.02,1.6364,46,1892.6,5.0,-4.0,5.5,4.5
140,6020501.03,2021S05076020501.03,501.03,2.2267,46,3202.0,24.0,11.3,24.5,22.3
141,6020560.05,2021S05076020560.05,560.05,0.8426,46,4439.8,11.0,4.0,9.8,20.7
142,6020051.03,2021S05076020051.03,51.03,1.3611,46,4467.0,9.1,-3.4,6.7,8.2
143,6020100.05,2021S05076020100.05,100.05,1.4011,46,3126.8,6.0,-1.7,5.3,7.0
144,6020100.06,2021S05076020100.06,100.06,2.3006,46,2067.7,4.4,7.3,9.0,9.5
145,6020100.07,2021S05076020100.07,100.07,1.3881,46,3710.8,7.2,0.6,5.7,8.7
146,6020110.04,2021S05076020110.04,110.04,5.0117,46,886.3,3.4,-1.6,2.7,4.4
147,6020500.07,2021S05076020500.07,500.07,1.6243,46,2811.7,6.5,4.1,5.8,8.7
148,6020521.01,2021S05076020521.01,521.01,3.4769,46,1101.8,1.0,0.3,2.7,4.4
149,6020521.02,2021S05076020521.02,521.02,2.6981,46,1178.2,5.0,-0.7,4.2,9.1
