CTUID,DGUID,CTNAME,LANDAREA,PRUID
"6020051.03",2021S05076020051.03,"0051.03",1.3611,"46"
"6020100.05",2021S05076020100.05,"0100.05",1.4011,"46"
"6020100.06",2021S05076020100.06,"0100.06",2.3006,"46"
"6020100.07",2021S05076020100.07,"0100.07",1.3881,"46"
"6020110.04",2021S05076020110.04,"0110.04",5.0117,"46"
"6020500.07",2021S05076020500.07,"0500.07",1.6243,"46"
"6020521.01",2021S05076020521.01,"0521.01",3.4769,"46"
"6020521.02",2021S05076020521.02,"0521.02",2.6981,"46"
"6020560.08",2021S05076020560.08,"0560.08",0.9238,"46"
"6020560.09",2021S05076020560.09,"0560.09",1.3647,"46"
"6020560.10",2021S05076020560.10,"0560.10",9.8036,"46"
"6020560.11",2021S05076020560.11,"0560.11",5.2322,"46"
"6020560.12",2021S05076020560.12,"0560.12",2.0084,"46"
"6020560.13",2021S05076020560.13,"0560.13",1.3687,"46"
"6020110.08",2021S05076020110.08,"0110.08",6.3519,"46"
"6020110.09",2021S05076020110.09,"0110.09",3.236,"46"
"6020120.04",2021S05076020120.04,"0120.04",2.4016,"46"
"6020120.05",2021S05076020120.05,"0120.05",1.2221,"46"
"6020560.14",2021S05076020560.14,"0560.14",0.8314,"46"
"6020560.15",2021S05076020560.15,"0560.15",0.9264,"46"
"6020140.04",2021S05076020140.04,"0140.04",4.7952,"46"
"6020140.05",2021S05076020140.05,"0140.05",7.044,"46"
"6020100.09",2021S05076020100.09,"0100.09",2.9499,"46"
"6020100.10",2021S05076020100.10,"0100.10",1.5457,"46"
"6020500.10",2021S05076020500.10,"0500.10",1.8869,"46"
"6020500.11",2021S05076020500.11,"0500.11",3.7967,"46"
"6020500.12",2021S05076020500.12,"0500.12",4.0166,"46"
"6020500.13",2021S05076020500.13,"0500.13",6.704,"46"
