stop_id,route_id,direction_id,service_id,n_departures,mean_headway
10121,68,1,2,18,2400
10122,68,0,2,18,2400
10123,68,1,2,18,2400
10124,68,0,2,18,2400
10125,18,1,2,66,655
10126,18,0,2,69,626
10127,18,1,2,66,655
10128,18,0,2,69,626
10129,18,1,2,66,655
10130,18,0,2,69,626
10131,11,0,2,69,626
10132,30,1,2,5,8640
10132,31,1,2,9,4800
10132,33,1,2,37,1168
10132,34,1,2,4,10800
10132,35,1,2,4,10800
10132,42,0,2,9,4800
10132,46,0,2,9,4800
10132,48,0,2,6,7200
10132,49,0,2,3,14400
10132,BLUE,0,2,134,322
10134,30,1,2,5,8640
10134,31,1,2,9,4800
10134,33,1,2,37,1168
10134,34,1,2,4,10800
10134,35,1,2,4,10800
10134,42,0,2,9,4800
10134,46,0,2,9,4800
10134,48,0,2,6,7200
10134,49,0,2,3,14400
10134,BLUE,0,2,134,322
10135,15,1,2,50,864
10138,10,1,2,25,1728
10138,43,1,2,17,2541
10140,18,1,2,66,655
10141,18,0,2,69,626
10142,18,1,2,66,655
10143,18,0,2,69,626
10144,18,1,2,66,655
10145,18,0,2,69,626
10146,18,1,2,66,655
10147,18,0,2,69,626
10148,18,1,2,66,655
10149,18,1,2,66,655
10150,18,0,2,69,626
10156,66,1,2,44,982
10156,68,1,2,17,2541
10157,47,0,2,56,771
10157,65,1,2,7,6171
10157,66,1,2,45,960
10157,68,1,2,17,2541
10157,BLUE,1,2,116,372
10158,14,1,2,49,882
10158,19,0,2,52,831
10158,53,1,2,11,3927
10158,54,1,2,8,5400
10158,55,1,2,47,919
10158,57,1,2,5,8640
10158,59,1,2,8,5400
10159,14,0,2,47,919
10159,19,1,2,53,815
10159,47,1,2,56,771
10159,53,0,2,11,3927
10159,54,0,2,11,3927
10159,55,0,2,47,919
10159,57,0,2,7,6171
10159,59,0,2,12,3600
10159,65,0,2,10,4320
10159,66,0,2,45,960
10159,BLUE,0,2,133,325
10161,68,0,2,18,2400
10162,11,0,2,69,626
10169,635,0,2,30,1440
10169,68,0,2,18,2400
10170,635,0,2,30,1440
10170,68,0,2,18,2400
10171,16,0,2,56,771
10171,18,0,2,70,617
10171,58,1,2,6,7200
10171,60,1,2,55,785
10172,16,1,2,59,732
10172,18,1,2,67,645
10172,58,0,2,10,4320
10172,60,0,2,55,785
10173,635,0,2,30,1440
10173,68,0,2,18,2400
10176,635,0,2,30,1440
10176,68,0,2,18,2400
10177,635,0,2,30,1440
10177,68,0,2,18,2400
10178,635,0,2,30,1440
10178,68,0,2,18,2400
10179,635,0,2,30,1440
10179,68,0,2,18,2400
10180,635,1,2,30,1440
10180,68,1,2,18,2400
10181,635,1,2,30,1440
10181,68,1,2,18,2400
10182,635,1,2,30,1440
10182,68,1,2,18,2400
10184,635,1,2,30,1440
10184,68,1,2,18,2400
10185,16,1,2,59,732
10185,18,1,2,67,645
10185,58,0,2,10,4320
10185,60,0,2,56,771
10186,16,0,2,56,771
10186,18,0,2,69,626
10186,58,1,2,6,7200
10186,60,1,2,55,785
10187,635,1,2,30,1440
10187,68,1,2,18,2400
10188,635,1,2,31,1394
10188,68,1,2,17,2541
10190,20,0,2,22,1964
10190,29,0,2,30,1440
10190,635,0,2,30,1440
10194,10,1,2,25,1728
10194,17,1,2,46,939
10194,20,1,2,21,2057
10194,29,1,2,30,1440
10195,10,1,2,25,1728
10195,17,1,2,46,939
10195,20,1,2,21,2057
10195,29,1,2,30,1440
10196,10,1,2,25,1728
10196,17,1,2,46,939
10196,20,1,2,21,2057
10196,29,1,2,30,1440
10197,23,0,2,31,1394
10197,29,1,2,30,1440
